,Country_x,Code,CO2Emissions,YearlyChange,Percapita,Population,LifeExpectancy,Type,Indicator,Indicator_Code,GDP_Billions
0,Afghanistan,AFG,9900004,7.13,0.28,35383032,63.763,Low,GDP (current US$),NY.GDP.MKTP.CD,18.35
1,Albania,ALB,5208319,4.45,1.8,2886438,78.194,Low,GDP (current US$),NY.GDP.MKTP.CD,15.15
2,Algeria,DZA,156220560,0.17,3.85,40551392,76.298,Low,GDP (current US$),NY.GDP.MKTP.CD,175
3,Angola,AGO,30566933,3.13,1.06,28842489,59.925,Low,GDP (current US$),NY.GDP.MKTP.CD,101
4,Antigua and Barbuda,ATG,438763,1.51,4.64,94527,76.617,Low,GDP (current US$),NY.GDP.MKTP.CD,1.61
5,Argentina,ARG,200708270,0.16,4.61,43508460,76.221,High,GDP (current US$),NY.GDP.MKTP.CD,518
6,Armenia,ARM,4597845,3.06,1.57,2936143,74.64,Low,GDP (current US$),NY.GDP.MKTP.CD,12.46
7,Aruba,ABW,286871,1.51,2.74,104872,75.868,Low,GDP (current US$),NY.GDP.MKTP.CD,3.2
8,Australia,AUS,414988700,-0.98,17.1,24262712,82.959,High,GDP (current US$),NY.GDP.MKTP.CD,1430
9,Austria,AUT,73764112,1.54,8.43,8747301,81.258,Low,GDP (current US$),NY.GDP.MKTP.CD,455
10,Azerbaijan,AZE,33614235,-0.41,3.45,9736043,72.493,Low,GDP (current US$),NY.GDP.MKTP.CD,47.11
11,Bahamas,BHS,4404247,1.51,11.65,377930,73.329,Low,GDP (current US$),NY.GDP.MKTP.CD,13.02
12,Bahrain,BHR,24458384,2.5,17.15,1425792,76.899,Low,GDP (current US$),NY.GDP.MKTP.CD,37.65
13,Bangladesh,BGD,74476230,4.5,0.47,157977153,71.785,Low,GDP (current US$),NY.GDP.MKTP.CD,274
14,Barbados,BRB,1541447,1.88,5.39,285796,78.888,Low,GDP (current US$),NY.GDP.MKTP.CD,5.09
15,Belarus,BLR,62655669,4.9,6.63,9445643,74.031,Low,GDP (current US$),NY.GDP.MKTP.CD,60.03
16,Belgium,BEL,94722813,1.53,8.34,11354420,81.139,Low,GDP (current US$),NY.GDP.MKTP.CD,543
17,Belize,BLZ,1114105,1.51,3.02,368400,74.219,Low,GDP (current US$),NY.GDP.MKTP.CD,1.92
18,Benin,BEN,6563709,4.13,0.6,10872063,60.885,Low,GDP (current US$),NY.GDP.MKTP.CD,14.25
19,Bermuda,BMU,639352,1.51,10.09,63362,82.163,Low,GDP (current US$),NY.GDP.MKTP.CD,7.22
20,Bhutan,BTN,1682100,6.14,2.28,736708,70.781,Low,GDP (current US$),NY.GDP.MKTP.CD,2.45
21,Bolivia,BOL,19463728,2.03,1.76,11031814,70.626,Low,GDP (current US$),NY.GDP.MKTP.CD,40.29
22,Bosnia and Herzegovina,BIH,25674120,0.86,7.58,3386266,76.998,Low,GDP (current US$),NY.GDP.MKTP.CD,20.18
23,Botswana,BWA,6438429,-3.74,2.98,2159927,68.178,Low,GDP (current US$),NY.GDP.MKTP.CD,18.66
24,Brazil,BRA,462994920,-6.08,2.25,206163053,75.23,High,GDP (current US$),NY.GDP.MKTP.CD,1920
25,British Virgin Islands,VGB,99762,1.51,3.4,29355,78.576,Low,GDP (current US$),NY.GDP.MKTP.CD,
26,Brunei,BRN,7672127,3.54,18.28,419800,75.45,Low,GDP (current US$),NY.GDP.MKTP.CD,13.57
27,Bulgaria,BGR,50872910,-6,7.11,7151953,74.703,Low,GDP (current US$),NY.GDP.MKTP.CD,66.23
28,Burkina Faso,BFA,2352070,3.14,0.13,18646357,60.354,Low,GDP (current US$),NY.GDP.MKTP.CD,16.06
29,Burundi,BDI,1093618,2.81,0.1,10487995,60.528,Low,GDP (current US$),NY.GDP.MKTP.CD,3.04
30,Cambodia,KHM,6496958,7.68,0.41,15766292,68.977,Low,GDP (current US$),NY.GDP.MKTP.CD,1.97
31,Cameroon,CMR,9454331,2.21,0.4,23926551,58.063,Low,GDP (current US$),NY.GDP.MKTP.CD,24.57
32,Canada,CAN,675918610,-1,18.58,36382944,82.117,High,GDP (current US$),NY.GDP.MKTP.CD,38.69
33,Cape Verde,CPV,99687,2.59,0.19,531146,72.347,Low,GDP (current US$),NY.GDP.MKTP.CD,1720
34,Cayman Islands,CYM,406057,1.52,6.49,62569,83.48,Low,GDP (current US$),NY.GDP.MKTP.CD,5.52
35,Central African Republic,CAF,543229,2.57,0.12,4537686,51.593,Low,GDP (current US$),NY.GDP.MKTP.CD,2.22
36,Chad,TCD,1670941,2.14,0.11,14561660,53.438,Low,GDP (current US$),NY.GDP.MKTP.CD,11.24
37,Chile,CHL,81258525,5.33,4.46,18209068,79.779,Low,GDP (current US$),NY.GDP.MKTP.CD,298
38,China,CHN,10432751400,-0.28,7.38,1414049351,76.21,High,GDP (current US$),NY.GDP.MKTP.CD,13900
39,Colombia,COL,77667594,-0.84,1.61,48175052,76.732,Low,GDP (current US$),NY.GDP.MKTP.CD,334
40,Comoros,COM,108422,2.58,0.14,795592,63.7,Low,GDP (current US$),NY.GDP.MKTP.CD,1.18
41,Congo,COG,5212302,1.63,1.05,4980996,63.556,Low,GDP (current US$),NY.GDP.MKTP.CD,13.64
42,Costa Rica,CRI,8328890,2.16,1.7,4899345,79.738,Low,GDP (current US$),NY.GDP.MKTP.CD,62.34
43,Cote d'Ivoire,CIV,10056492,1.16,0.42,23822714,56.567,Low,GDP (current US$),NY.GDP.MKTP.CD,58.01
44,Croatia,HRV,19408194,3.02,4.61,4208602,78.049,Low,GDP (current US$),NY.GDP.MKTP.CD,61.38
45,Cuba,CUB,30389116,1.65,2.68,11335104,78.607,Low,GDP (current US$),NY.GDP.MKTP.CD,100
46,Cyprus,CYP,6872427,3.73,5.87,1170187,80.513,Low,GDP (current US$),NY.GDP.MKTP.CD,25.31
47,Czech Republic (Czechia),CZE,111825428,1.39,10.53,10618857,78.881,Low,GDP (current US$),NY.GDP.MKTP.CD,249
48,Denmark,DNK,38007645,5.23,6.65,5711349,80.583,Low,GDP (current US$),NY.GDP.MKTP.CD,357
49,Djibouti,DJI,1508851,2.97,1.62,929112,65.064,Low,GDP (current US$),NY.GDP.MKTP.CD,3.01
50,Dominica,DMA,185767,1.51,2.61,71307,74.384,Low,GDP (current US$),NY.GDP.MKTP.CD,0.55
51,Dominican Republic,DOM,23466740,2.88,2.26,10397741,73.471,Low,GDP (current US$),NY.GDP.MKTP.CD,85.56
52,Ecuador,ECU,40065690,-4.85,2.43,16491116,76.365,Low,GDP (current US$),NY.GDP.MKTP.CD,108
53,Egypt,EGY,219377350,4.72,2.32,94447073,71.482,High,GDP (current US$),NY.GDP.MKTP.CD,250
54,El Salvador,SLV,6853766,0.45,1.08,6356143,72.644,Low,GDP (current US$),NY.GDP.MKTP.CD,26.02
55,Equatorial Guinea,GNQ,2156371,0,1.77,1215180,57.713,Low,GDP (current US$),NY.GDP.MKTP.CD,13.1
56,Eritrea,ERI,684140,4.79,0.2,3376557,65.111,Low,GDP (current US$),NY.GDP.MKTP.CD,
57,Estonia,EST,22402414,1.01,17.02,1316510,78.097,Low,GDP (current US$),NY.GDP.MKTP.CD,30.47
58,Eswatini,SWZ,657572,2.61,0.59,1113997,56.962,Low,GDP (current US$),NY.GDP.MKTP.CD,4.67
59,Ethiopia,ETH,10438855,4.03,0.1,103603462,65.482,Low,GDP (current US$),NY.GDP.MKTP.CD,84.27
60,Faeroe Islands,FRO,1953,0.6,0.04,48173,80.255,Low,GDP (current US$),NY.GDP.MKTP.CD,3.05
61,Fiji,FJI,1703193,7.28,1.95,872399,67.175,Low,GDP (current US$),NY.GDP.MKTP.CD,5.58
62,Finland,FIN,51183960,3.62,9.31,5497713,81.382,Low,GDP (current US$),NY.GDP.MKTP.CD,276
63,France,FRA,331533320,2.11,5.13,64667596,82.328,High,GDP (current US$),NY.GDP.MKTP.CD,2790
64,French Polynesia,PYF,1003249,7.18,3.65,274575,77.024,Low,GDP (current US$),NY.GDP.MKTP.CD,
65,Gabon,GAB,5694208,1.12,2.84,2007873,65.418,Low,GDP (current US$),NY.GDP.MKTP.CD,16.86
66,Gambia,GMB,254127,2.59,0.12,2149136,61.166,Low,GDP (current US$),NY.GDP.MKTP.CD,1.67
67,Georgia,GEO,8610414,2.94,2.14,4015450,73.207,Low,GDP (current US$),NY.GDP.MKTP.CD,17.6
68,Germany,DEU,775752190,1.28,9.44,82193768,80.902,High,GDP (current US$),NY.GDP.MKTP.CD,3980
69,Ghana,GHA,14469986,3.54,0.51,28481945,63.124,Low,GDP (current US$),NY.GDP.MKTP.CD,65.32
70,Gibraltar,GIB,572708,3.53,16.98,33737,79.485,Low,GDP (current US$),NY.GDP.MKTP.CD,
71,Greece,GRC,67840662,-3.47,6.39,10615185,81.727,Low,GDP (current US$),NY.GDP.MKTP.CD,212
72,Greenland,GRL,1530,0.86,0.03,56412,71.493,Low,GDP (current US$),NY.GDP.MKTP.CD,3.05
73,Grenada,GRD,554848,1.51,5.03,110261,72.408,Low,GDP (current US$),NY.GDP.MKTP.CD,1.17
74,Guatemala,GTM,18539316,2.42,1.12,16583076,73.541,Low,GDP (current US$),NY.GDP.MKTP.CD,73.21
75,Guinea,GIN,2071798,3.2,0.18,11738429,60.17,Low,GDP (current US$),NY.GDP.MKTP.CD,11.86
76,Guinea-Bissau,GNB,318706,2.59,0.18,1782438,57.328,Low,GDP (current US$),NY.GDP.MKTP.CD,1.5
77,Guyana,GUY,3253057,1.61,4.22,771368,69.454,Low,GDP (current US$),NY.GDP.MKTP.CD,4.79
78,Haiti,HTI,3086897,1.71,0.28,10839970,62.896,Low,GDP (current US$),NY.GDP.MKTP.CD,15.97
79,Honduras,HND,9320279,2.25,1.01,9270795,74.701,Low,GDP (current US$),NY.GDP.MKTP.CD,24.07
80,Hong Kong,HKG,47066386,1.23,6.5,7243542,84.277,Low,GDP (current US$),NY.GDP.MKTP.CD,362
81,Hungary,HUN,51018899,2.16,5.23,9752975,76.266,Low,GDP (current US$),NY.GDP.MKTP.CD,160
82,Iceland,ISL,3923884,1.62,11.81,332206,82.601,Low,GDP (current US$),NY.GDP.MKTP.CD,26.27
83,India,IND,2533638100,4.71,1.91,1324517249,68.897,High,GDP (current US$),NY.GDP.MKTP.CD,2700
84,Indonesia,IDN,530035650,6.41,2.03,261556381,71.035,High,GDP (current US$),NY.GDP.MKTP.CD,1040
85,Iran,IRN,642560030,2.22,8.08,79563989,76.047,High,GDP (current US$),NY.GDP.MKTP.CD,294
86,Iraq,IRQ,162646160,1.22,4.44,36610632,70.122,Low,GDP (current US$),NY.GDP.MKTP.CD,212
87,Ireland,IRL,39086565,5.09,8.32,4695779,81.615,Low,GDP (current US$),NY.GDP.MKTP.CD,385
88,Israel,ISR,65201588,-0.38,8.04,8108985,82.503,Low,GDP (current US$),NY.GDP.MKTP.CD,370
89,Italy,ITA,358139550,0.84,5.9,60663060,83.008,High,GDP (current US$),NY.GDP.MKTP.CD,2090
90,Jamaica,JAM,8946575,1.82,3.08,2906236,74.175,Low,GDP (current US$),NY.GDP.MKTP.CD,15.73
91,Japan,JPN,1239592060,-1.21,9.7,127763265,84.09,High,GDP (current US$),NY.GDP.MKTP.CD,5040
92,Jordan,JOR,22772370,1.83,2.38,9554286,74.184,Low,GDP (current US$),NY.GDP.MKTP.CD,42.93
93,Kazakhstan,KAZ,231919540,1.64,13.01,17830901,72.081,High,GDP (current US$),NY.GDP.MKTP.CD,179
94,Kenya,KEN,16334919,3.6,0.33,49051534,65.393,Low,GDP (current US$),NY.GDP.MKTP.CD,87.78
95,Kiribati,KIR,52818,7.18,0.47,112524,67.577,Low,GDP (current US$),NY.GDP.MKTP.CD,0.2
96,Kuwait,KWT,101492225,1.36,25.65,3956875,75.224,Low,GDP (current US$),NY.GDP.MKTP.CD,138
97,Kyrgyzstan,KGZ,6941784,2.53,1.14,6074330,71.054,Low,GDP (current US$),NY.GDP.MKTP.CD,8.27
98,Laos,LAO,4531276,7.92,0.66,6845846,66.924,Low,GDP (current US$),NY.GDP.MKTP.CD,17.95
99,Latvia,LVA,8157157,3.41,4.13,1974266,74.91,Low,GDP (current US$),NY.GDP.MKTP.CD,34.4
100,Lebanon,LBN,21863288,1.95,3.26,6714281,78.8,Low,GDP (current US$),NY.GDP.MKTP.CD,54.96
101,Lesotho,LSO,318438,2.58,0.15,2075030,52.059,Low,GDP (current US$),NY.GDP.MKTP.CD,2.51
102,Liberia,LBR,846658,3.49,0.18,4586787,62.802,Low,GDP (current US$),NY.GDP.MKTP.CD,3.26
103,Libya,LBY,52696075,1.52,8.12,6492162,72.311,Low,GDP (current US$),NY.GDP.MKTP.CD,52.61
104,Lithuania,LTU,13685264,2.66,4.74,2889557,75.238,Low,GDP (current US$),NY.GDP.MKTP.CD,53.7
105,Luxembourg,LUX,10144632,3.45,17.51,579264,81.803,Low,GDP (current US$),NY.GDP.MKTP.CD,70.89
106,Macao,MAC,3106518,7.19,5.07,612836,83.854,Low,GDP (current US$),NY.GDP.MKTP.CD,55.3
107,Madagascar,MDG,3026047,2.85,0.12,24894370,65.931,Low,GDP (current US$),NY.GDP.MKTP.CD,13.61
108,Malawi,MWI,1815598,3.26,0.11,17205261,62.681,Low,GDP (current US$),NY.GDP.MKTP.CD,9.71
109,Malaysia,MYS,266251542,6.54,8.68,30684654,75.649,High,GDP (current US$),NY.GDP.MKTP.CD,359
110,Maldives,MDV,1233015,7.19,2.59,475512,78.013,Low,GDP (current US$),NY.GDP.MKTP.CD,5.3
111,Mali,MLI,1606421,2.57,0.09,17965443,57.987,Low,GDP (current US$),NY.GDP.MKTP.CD,17.07
112,Malta,MLT,2257870,3.48,5.18,436097,82.063,Low,GDP (current US$),NY.GDP.MKTP.CD,14.86
113,Mauritania,MRT,2564345,3.32,0.62,4163533,64.208,Low,GDP (current US$),NY.GDP.MKTP.CD,7.05
114,Mauritius,MUS,3192307,0,2.53,1261865,74.626,Low,GDP (current US$),NY.GDP.MKTP.CD,14.18
115,Mexico,MEX,441412750,-2.13,3.58,123333376,74.917,High,GDP (current US$),NY.GDP.MKTP.CD,1220
116,Moldova,MDA,8258774,2.99,2.03,4066009,71.617,Low,GDP (current US$),NY.GDP.MKTP.CD,11.46
117,Mongolia,MNG,18574260,18.09,6.08,3056364,69.321,Low,GDP (current US$),NY.GDP.MKTP.CD,13.11
118,Montenegro,MNE,16249039,2.27,25.9,627264,76.568,Low,GDP (current US$),NY.GDP.MKTP.CD,5.51
119,Morocco,MAR,57694464,0.54,1.64,35126283,75.974,Low,GDP (current US$),NY.GDP.MKTP.CD,118
120,Mozambique,MOZ,5859171,2.22,0.21,27829938,58.309,Low,GDP (current US$),NY.GDP.MKTP.CD,14.85
121,Myanmar,MMR,16701776,5.61,0.31,53045201,66.205,Low,GDP (current US$),NY.GDP.MKTP.CD,68.7
122,Namibia,NAM,3901830,4.42,1.65,2358044,62.625,Low,GDP (current US$),NY.GDP.MKTP.CD,13.68
123,Nepal,NPL,7833787,10.1,0.29,27263433,69.848,Low,GDP (current US$),NY.GDP.MKTP.CD,33.11
124,Netherlands,NLD,163419285,1.63,9.62,16981295,81.862,Low,GDP (current US$),NY.GDP.MKTP.CD,914
125,New Caledonia,NCL,2338717,7.22,8.53,274191,77.014,Low,GDP (current US$),NY.GDP.MKTP.CD,
126,New Zealand,NZL,33276202,-0.14,7.14,4659265,81.859,Low,GDP (current US$),NY.GDP.MKTP.CD,212
127,Nicaragua,NIC,5325447,1.86,0.84,6303974,73.86,Low,GDP (current US$),NY.GDP.MKTP.CD,13.03
128,Niger,NER,2088475,0.15,0.1,20788798,61.137,Low,GDP (current US$),NY.GDP.MKTP.CD,12.85
129,Nigeria,NGA,82634214,0.7,0.44,185960241,53.541,Low,GDP (current US$),NY.GDP.MKTP.CD,397
130,North Korea,PRK,58708734,19.49,2.32,25307665,71.711,Low,GDP (current US$),NY.GDP.MKTP.CD,
131,North Macedonia,MKD,8896732,1.62,4.28,2080743,75.498,Low,GDP (current US$),NY.GDP.MKTP.CD,12.68
132,Norway,NOR,43456012,0.85,8.28,5250949,82.029,Low,GDP (current US$),NY.GDP.MKTP.CD,437
133,Oman,OMN,87835773,2.09,19.61,4479219,77.142,Low,GDP (current US$),NY.GDP.MKTP.CD,79.79
134,Pakistan,PAK,178013820,9.13,0.87,203631353,66.77,High,GDP (current US$),NY.GDP.MKTP.CD,315
135,Palau,PLW,41732,7.19,2.35,17725,73.089,Low,GDP (current US$),NY.GDP.MKTP.CD,0.28
136,Panama,PAN,11599764,2.37,2.87,4037078,77.964,Low,GDP (current US$),NY.GDP.MKTP.CD,64.93
137,Papua New Guinea,PNG,9086988,7.09,1.1,8271762,63.744,Low,GDP (current US$),NY.GDP.MKTP.CD,24.11
138,Paraguay,PRY,5998469,1.97,0.89,6777872,73.836,Low,GDP (current US$),NY.GDP.MKTP.CD,40.23
139,Peru,PER,57692879,8.16,1.87,30926032,76.044,Low,GDP (current US$),NY.GDP.MKTP.CD,223
140,Philippines,PHL,126922662,12.37,1.22,103663816,70.802,Low,GDP (current US$),NY.GDP.MKTP.CD,347
141,Poland,POL,296659670,2.67,7.81,37989220,78.11,High,GDP (current US$),NY.GDP.MKTP.CD,587
142,Portugal,PRT,50142844,-2.36,4.86,10325538,81.444,Low,GDP (current US$),NY.GDP.MKTP.CD,242
143,Puerto Rico,PRI,712758,1.71,0.22,3283125,79.664,Low,GDP (current US$),NY.GDP.MKTP.CD,101
144,Qatar,QAT,98990085,1.79,37.29,2654374,79.868,Low,GDP (current US$),NY.GDP.MKTP.CD,183
145,Romania,ROU,78770824,1.69,3.98,19796285,75.644,Low,GDP (current US$),NY.GDP.MKTP.CD,241
146,Russia,RUS,1661899300,-2.13,11.44,145275383,71.835,High,GDP (current US$),NY.GDP.MKTP.CD,1660
147,Rwanda,RWA,1403087,2.88,0.12,11668827,67.93,Low,GDP (current US$),NY.GDP.MKTP.CD,9.64
148,Samoa,WSM,169939,7.18,0.87,194535,72.895,Low,GDP (current US$),NY.GDP.MKTP.CD,0.82
149,Sao Tome & Principe,STP,56185,2.6,0.28,203227,69.67,Low,GDP (current US$),NY.GDP.MKTP.CD,0.41
150,Saudi Arabia,SAU,517079407,0.92,15.94,32443447,74.761,High,GDP (current US$),NY.GDP.MKTP.CD,787
151,Senegal,SEN,8247295,3.69,0.55,14993519,67.078,Low,GDP (current US$),NY.GDP.MKTP.CD,23.12
152,Serbia,SRB,41168059,2.27,4.65,8853963,75.505,Low,GDP (current US$),NY.GDP.MKTP.CD,50.64
153,Seychelles,SYC,519693,2.62,5.43,95710,73.226,Low,GDP (current US$),NY.GDP.MKTP.CD,1.59
154,Sierra Leone,SLE,1272332,3.43,0.17,7328834,53.444,Low,GDP (current US$),NY.GDP.MKTP.CD,4.09
155,Singapore,SGP,48381759,2.56,8.56,5653634,83.083,Low,GDP (current US$),NY.GDP.MKTP.CD,376
156,Slovakia,SVK,36817242,1.74,6.77,5442003,77.034,Low,GDP (current US$),NY.GDP.MKTP.CD,105
157,Slovenia,SVN,14722601,2.35,7.1,2074210,80.852,Low,GDP (current US$),NY.GDP.MKTP.CD,54.14
158,Solomon Islands,SLB,341748,7.18,0.55,619438,72.424,Low,GDP (current US$),NY.GDP.MKTP.CD,1.57
159,Somalia,SOM,1268442,2.57,0.09,14185636,56.324,Low,GDP (current US$),NY.GDP.MKTP.CD,4.72
160,South Africa,ZAF,390557850,-0.49,6.95,56207646,63.153,High,GDP (current US$),NY.GDP.MKTP.CD,368
161,South Korea,KOR,604043830,0.45,11.85,50983457,82.379,High,GDP (current US$),NY.GDP.MKTP.CD,1720
162,South Sudan,SSD,4038496,4.18,0.37,10832518,57.12,Low,GDP (current US$),NY.GDP.MKTP.CD,
163,Spain,ESP,251892320,-3.12,5.4,46634140,83.145,High,GDP (current US$),NY.GDP.MKTP.CD,1420
164,Sri Lanka,LKA,18454691,8.55,0.88,21021171,76.482,Low,GDP (current US$),NY.GDP.MKTP.CD,87.95
165,St. Kitts & Nevis,KNA,203036,1.51,3.93,51625,75.73,Low,GDP (current US$),NY.GDP.MKTP.CD,1.01
166,St. Lucia,LCA,608182,1.51,3.38,180024,75.752,Low,GDP (current US$),NY.GDP.MKTP.CD,2.07
167,St. Vincent and the Grenadines,VCT,362414,1.51,3.31,109459,72.193,Low,GDP (current US$),NY.GDP.MKTP.CD,0.81
168,Sudan,SDN,13294106,4.18,0.33,39847439,64.663,Low,GDP (current US$),NY.GDP.MKTP.CD,34.52
169,Suriname,SUR,2152933,0.32,3.81,564888,71.358,Low,GDP (current US$),NY.GDP.MKTP.CD,4
170,Sweden,SWE,44694415,4.33,4.54,9836007,82.382,Low,GDP (current US$),NY.GDP.MKTP.CD,555
171,Switzerland,CHE,39666930,-2.3,4.73,8379917,83.31,Low,GDP (current US$),NY.GDP.MKTP.CD,736
172,Syria,SYR,38054696,1.78,2.18,17465575,70.315,Low,GDP (current US$),NY.GDP.MKTP.CD,0
173,Taiwan,TWN,276724868,1.91,11.72,23618200,79.927,High,GDP (current US$),NY.GDP.MKTP.CD,0
174,Tajikistan,TJK,6049757,3.37,0.7,8663579,70.397,Low,GDP (current US$),NY.GDP.MKTP.CD,7.77
175,Tanzania,TZA,9731560,2.5,0.18,53049230,63.844,Low,GDP (current US$),NY.GDP.MKTP.CD,57
176,Thailand,THA,271040160,1.55,3.93,68971308,76.403,High,GDP (current US$),NY.GDP.MKTP.CD,507
177,Timor-Leste,TLS,495687,4.63,0.41,1219288,68.735,Low,GDP (current US$),NY.GDP.MKTP.CD,1.56
178,Togo,TGO,2321546,5.47,0.31,7509951,60.22,Low,GDP (current US$),NY.GDP.MKTP.CD,7.11
179,Tonga,TON,251375,7.19,2.49,101133,70.607,Low,GDP (current US$),NY.GDP.MKTP.CD,0.49
180,Trinidad and Tobago,TTO,34974263,-5.92,25.39,1377560,73.1,Low,GDP (current US$),NY.GDP.MKTP.CD,23.68
181,Tunisia,TUN,29395965,0.82,2.6,11303945,76.115,Low,GDP (current US$),NY.GDP.MKTP.CD,39.77
182,Turkey,TUR,368122740,5.25,4.61,79827871,76.86,High,GDP (current US$),NY.GDP.MKTP.CD,778
183,Turkmenistan,TKM,79279216,0.63,14,5662368,67.835,Low,GDP (current US$),NY.GDP.MKTP.CD,40.77
184,Turks and Caicos,TCA,65451,1.52,1.79,36559,79.732,Low,GDP (current US$),NY.GDP.MKTP.CD,1.11
185,Uganda,UGA,5009493,3.82,0.13,39649166,61.986,Low,GDP (current US$),NY.GDP.MKTP.CD,32.91
186,Ukraine,UKR,233220080,8.03,5.22,44713702,71.711,High,GDP (current US$),NY.GDP.MKTP.CD,131
187,United Arab Emirates,ARE,218788684,4.43,23.37,9360980,77.47,High,GDP (current US$),NY.GDP.MKTP.CD,422
188,United Kingdom,GBR,367860350,-6.38,5.55,66297944,81.111,High,GDP (current US$),NY.GDP.MKTP.CD,2860
189,United States,USA,5011686600,-2.01,15.52,323015995,78.885,High,GDP (current US$),NY.GDP.MKTP.CD,20600
190,Uruguay,URY,6508013,1.91,1.9,3424129,77.498,Low,GDP (current US$),NY.GDP.MKTP.CD,64.52
191,Uzbekistan,UZB,109347340,1.6,3.48,31441751,71.171,Low,GDP (current US$),NY.GDP.MKTP.CD,50.39
192,Vanuatu,VUT,137706,7.18,0.49,278330,70.021,Low,GDP (current US$),NY.GDP.MKTP.CD,0.91
193,Venezuela,VEN,175884256,-1.9,5.89,29851255,72.405,High,GDP (current US$),NY.GDP.MKTP.CD,
194,Vietnam,VNM,206042140,0.09,2.2,93640422,75.172,High,GDP (current US$),NY.GDP.MKTP.CD,245
195,Western Sahara,ESH,207592,2.61,0.39,538749,69.496,Low,GDP (current US$),NY.GDP.MKTP.CD,16.28
196,Yemen,YEM,25647990,1.62,0.94,27168208,66.087,Low,GDP (current US$),NY.GDP.MKTP.CD,23.49
197,Zambia,ZMB,4230584,3.67,0.26,16363458,62.464,Low,GDP (current US$),NY.GDP.MKTP.CD,26.31
198,Zimbabwe,ZWE,10062628,-4.17,0.72,14030331,60.294,Low,GDP (current US$),NY.GDP.MKTP.CD,19.52
